,0
antall_år_levert,0.2896914628941637
levert_alle_år,0.18473942340157104
Antall BEDR,0.13443304732438613
aktivavekst_1718,0.05383064473338537
gjeldsvekst_1718,0.025069708846232514
egenkapitalandel,0.024374938573962383
kan_ikke_beregne_likviditet,0.023233063412005907
levert_2018,0.016468173133852865
total_gjeldsgrad,0.015422152790167952
likviditetsgrad_1,0.014307487442050938
log_totalkapital,0.014276145725518646
omsetningsvekst_1718,0.013467912021877335
kan_ikke_beregne_gjeldsgrad,0.013090789418284919
selskapsalder,0.012554469348033608
Tall 146,0.011633993808367903
Tall 217,0.01112815408738683
kortsiktig_gjeldsgrad,0.010487118016423156
rentedekningsgrad,0.009807503451160137
Tall 194,0.009520631685129946
driftsrentabilitet,0.008981435591439773
Sektorkode,0.006195465634130898
aktivavekst_1617,0.0056026578257324985
Tall 85,0.005033367018610666
Tall 86,0.00466175038405809
driftsmargin,0.004246232599937581
omsetningsvolatilitet,0.004077974639529958
Tall 72,0.0039981461942596545
Kapital,0.003818442148005575
Tall 1340,0.0037079304347124847
log_omsetning,0.0036245843332485504
Tall 17130,0.0035666776833600477
Siste godkjente årsregnskap,0.00349514115888856
nytt_selskap,0.0032385026304438797
gjeldsvekst_1617,0.0032161298383917673
omsetningsvekst_1617,0.0030475506557735717
Regnskapsfører,0.003040542876253272
Antall ansatte,0.0028051182934293517
konsistent_underskudd,0.0024803709806589737
Fadr postnr,0.002349743499604432
Styreleders postnr,0.0023220241972847066
langsiktig_gjeldsgrad,0.0022950296652503458
omsetningsgrad,0.0022646028538570086
Kommunenr,0.0021820424237655655
Næringskode,0.002105130476438076
negativ_egenkapital,0.0018683359594201998
Referanses postnr,0.0018313910747742843
altman_z_score,0.001704043128846554
Regnskapsførers postnr,0.0015671479059468504
kan_ikke_dekke_renter,0.0015151214001016002
sterkt_overbelånt,0.0015110154371832454
økende_gjeldsgrad,0.0013384157096746447
Revisor,0.0012268683612503693
Revisors postnr,0.001144642857713425
Tall 7709,0.0011268979474822766
driftsunderskudd,0.0010867314630776926
Fylkenr,0.0008853926368007573
Padr postnr,0.0008566613083504518
lav_likviditet,0.0006988881191053091
Næringskode2,0.000518360101054208
byttet_revisor_1718,0.00041630185385208696
fallende_likviditet,0.0002549952831826436
Mobil,0.0002047172320105796
regnskapskomplett,0.00017214129577276558
byttet_revisor_1617,0.00013247840048747714
byttet_revisor_noensinne,4.204794799788218e-05
Telefon,3.990424888181907e-06
Næringskode3,9.493674014809275e-17
