,0
antall_år_levert,0.48757046
kan_ikke_beregne_likviditet,0.25150242
selskapsalder,0.07333907
omsetningsvolatilitet,0.049806822
Tall 194,0.02181591
Padr postnr,0.010853176
Siste godkjente årsregnskap,0.010469196
rentedekningsgrad,0.009468441
Tall 146,0.009044602
Antall BEDR,0.008459088
Fadr postnr,0.007701936
omsetningsgrad,0.007540334
Regnskapsfører,0.007400055
gjeldsvekst_1718,0.0059148828
Referanses postnr,0.0051226933
likviditetsgrad_1,0.005042312
Tall 1340,0.003856487
driftsrentabilitet,0.0037479075
aktivavekst_1718,0.0026446916
log_totalkapital,0.0026213804
Næringskode,0.0026205655
levert_2018,0.0025203784
aktivavekst_1617,0.0018947271
Antall ansatte,0.0017145714
omsetningsvekst_1718,0.0016969012
Tall 17130,0.0013636515
Tall 86,0.0011435165
driftsmargin,0.0010709323
Kommunenr,0.0010085145
Kapital,0.0007688573
levert_alle_år,0.0002754884
Regnskapsførers postnr,0.0
Revisors postnr,0.0
Næringskode3,0.0
Næringskode2,0.0
egenkapitalandel,0.0
kortsiktig_gjeldsgrad,0.0
langsiktig_gjeldsgrad,0.0
total_gjeldsgrad,0.0
Tall 72,0.0
Tall 7709,0.0
Tall 217,0.0
Tall 85,0.0
Mobil,0.0
Telefon,0.0
Fylkenr,0.0
Sektorkode,0.0
Styreleders postnr,0.0
Revisor,0.0
omsetningsvekst_1617,0.0
altman_z_score,0.0
økende_gjeldsgrad,0.0
gjeldsvekst_1617,0.0
fallende_likviditet,0.0
konsistent_underskudd,0.0
kan_ikke_beregne_gjeldsgrad,0.0
regnskapskomplett,0.0
nytt_selskap,0.0
log_omsetning,0.0
byttet_revisor_1617,0.0
byttet_revisor_1718,0.0
byttet_revisor_noensinne,0.0
negativ_egenkapital,0.0
sterkt_overbelånt,0.0
kan_ikke_dekke_renter,0.0
lav_likviditet,0.0
driftsunderskudd,0.0
