,0
antall_år_levert,9.998259
Antall BEDR,0.58128035
driftsrentabilitet,0.27288008
kan_ikke_beregne_likviditet,0.25847524
aktivavekst_1718,0.23908871
aktivavekst_1617,0.22013588
selskapsalder,0.16863246
gjeldsvekst_1718,0.10677911
rentedekningsgrad,0.09348489
Tall 194,0.08111144
omsetningsvolatilitet,0.07235156
Fadr postnr,0.061389644
driftsmargin,0.048448384
Kapital,0.030622156
levert_2018,0.027957637
levert_alle_år,0.026418038
Tall 146,0.024710353
Siste godkjente årsregnskap,0.017240189
Kommunenr,0.010643293
Referanses postnr,0.007844761
Tall 17130,0.0075122174
Næringskode,0.006853693
Tall 1340,0.0067181485
omsetningsvekst_1718,0.0054506436
Tall 86,0.0040320978
Antall ansatte,0.0039380444
omsetningsgrad,0.003923774
Padr postnr,0.0026922878
Regnskapsfører,0.0010830434
log_totalkapital,0.0009429334
likviditetsgrad_1,0.0007710832
Regnskapsførers postnr,0.0
Revisors postnr,0.0
Næringskode3,0.0
Næringskode2,0.0
egenkapitalandel,0.0
kortsiktig_gjeldsgrad,0.0
langsiktig_gjeldsgrad,0.0
total_gjeldsgrad,0.0
Tall 72,0.0
Tall 7709,0.0
Tall 217,0.0
Tall 85,0.0
Mobil,0.0
Telefon,0.0
Fylkenr,0.0
Sektorkode,0.0
Styreleders postnr,0.0
Revisor,0.0
omsetningsvekst_1617,0.0
altman_z_score,0.0
økende_gjeldsgrad,0.0
gjeldsvekst_1617,0.0
fallende_likviditet,0.0
konsistent_underskudd,0.0
kan_ikke_beregne_gjeldsgrad,0.0
regnskapskomplett,0.0
nytt_selskap,0.0
log_omsetning,0.0
byttet_revisor_1617,0.0
byttet_revisor_1718,0.0
byttet_revisor_noensinne,0.0
negativ_egenkapital,0.0
sterkt_overbelånt,0.0
kan_ikke_dekke_renter,0.0
lav_likviditet,0.0
driftsunderskudd,0.0
